Sólidos disueltos totales,mg/l ,456,221,730,665,299,593,652,627,790,250,293,39800,1830,1710,4590,2010,,703,717,175,548,314,390,378,519,454,372,319,353,181,467,425,729,174,255,372,467,377,114,257,286,200,2400,431,454,337.5,275,387.5,250
Sólidos suspendidos totales,mg/l ,86,22,83,114,71,131,163,147,127.5,2845,19.4,70.1,39.1,86.5,16.3,21.5,,339.3,8.7,39390,9,372,532,370,1370,669,35,30,624,791,572,530,565,55,1176,579,845,536,8790,6850,25600,11090,133.9,1384.2,2371.7,27560,27790,28000,18660
Color,u PtCo ,,,,,,,,,,,100,45,75,75,75,90,,90,120,56,23,41,13,5,2,4,22,<1,8,37,8,14,24,17,2,8,8,7,205,175,116,121,100,25,20,70,250,74,136
Sólidos Sedimentables en 10 min,ml/l ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sólidos Sedimentables en 2 h,ml/l ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iones mayoritarios - Sales disueltas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dureza total,mg/l CaCO3,156.4,167.5,298.9,219.8,207.9,188.1,274.2,272.3,324.3,308.9,145,1770,365,495,520,380,,280,305,201.8,197.9,115.6,218.2,219.3,368.2,221.3,174.8,162.9,138.8,84.5,183.1,245,432.3,111.1,145.4,141.4,305.8,195.2,140.3,110.8,181.6,182.2,320,236,238,248.2,241.4,265.4,259.4
Alcalinidad Fenolftaleina,mg/l CaCO3,<0.1,<0.1,22.2,8.1,5.1,6.1,6.8,1.8,71.2,64,0,86,0,22,12,0,,0,0,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0,0,0,<0.1,<0.1,<0.1,<0.1
Alcalinidad total,mg/l CaCO3,86.9,<0.1,163.17,129.3,99,128.3,113.5,117,116.8,104.9,147,216,222,300,302,74,,228,228,105.5,205,56.3,78.4,62.3,18.1,87.7,60.3,<0.1,82.4,44.2,96.5,60.4,114.6,83.6,58.3,80.4,64.3,80.4,525,49.9,67.4,94.3,36.5,88,89,93.1,93.3,93,92.4
Cloruros,mg/l Cl -,48.2,<0.1,179.4,180.3,<0.1,129.2,34.7,54,153.1,149.3,15.13,14121.6,290.5,298.57,1200.34,817.04,,76.66,76.66,27.7,36.3,54.8,25.5,19.6,17.6,45.3,69.5,4.9,49.9,14.7,78.3,31.3,65.8,16.3,19.9,48.9,40.8,47.4,10.8,12.6,14.4,19.9,879.73,39.08,47.91,44.1,43.1,49.9,54
Sulfatos,mg/l SO4=,165,171,170,125,115,138,320,264,248.4,267.2,5.1,15290,603.89,592.34,940.34,86.34,,176.88,198.74,127.6,102,70,135,185,335,153,73,190,85,60,130,173,295,12,90,72,200,95,96.5,68.1,121,112.6,453.61,177.76,183.86,164.2,156.8,167.9,170.8
Calcio disuelto,mg/l Ca,,,,,,,,,,,57.3,480.9,72.1,108.2,136.2,78.1,,52.1,108.2,51.9,71.81,38.21,56.92,60.8,70.91,66.4,46.7,42.13,50.72,27.7,47.63,59.8,120.6,25.3,31.32,53.5,72.92,45.3,35.6,27.2,46.3,45.9,78.1,65.7,67.3,64.6,60.9,69.5,66.1
Magnesio disuelto,mg/l Mg,,,,,,,,,,,0.24,138.6,43.7,53.5,41.3,31.6,,35.2,7.29,17.3,13.72,14.42,23.33,23.92,46.41,20.92,6.83,20.62,12.74,9.62,15.6,29.03,30.82,4.43,18.41,14.03,21.9,13.61,12.3,10.3,15.8,16.2,29.2,17,15.5,20.8,21.4,22,22.6
Sodio disuelto,mg/l Na,57.9,24.06,63.15,57.95,37.08,46,50.8,60.7,80.1,81.1,18.59,17059.1,481.11,438.53,1308.98,490.14,,129.17,124.31,30.4,29.76,19.37,10.73,6.29,14.04,19.59,43.07,1.19,19.06,10.01,69.67,1.2,45.46,10.62,13.66,18.71,30.52,22.81,14.8,12.5,15.6,23.5,732.45,56.03,61.17,37.3,34.4,38.8,42.9
Potasio disuelto,mg/l K,2.9,27.7,29.46,16.23,25,17.8,35.8,29.3,38.5,39.3,2.72,11.6,10.27,15.22,11.92,11.47,,3.93,9.41,4.89,26.24,7.06,3.72,4.23,5.17,5.74,4.67,1.16,4.49,2.72,6.37,5.782,19.76,2.706,4.35,6.35,16.75,8.55,3.4,3.57,4.37,4.25,8.33,3.46,4.27,4.51,4.58,4.89,4.8
Calcio total,mg/l Ca,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,57.7,484.9,74.1,110.2,140.3,80.2,,54.1,110.2,177.7,72.32,42.62,59.14,66.82,82.52,69.12,49.92,44.12,61.51,35.82,51.5,68.6,125.71,26.8,45.21,60.31,81.9,50.91,95.7,131,259,117,80.2,66.5,68.1,162,147.4,150.4,113
Magnesio total,mg/l Mg,,,,,,,,,,,0.24,138.6,43.8,53.5,41.3,31.6,,35.3,7.3,98.5,13.9,17.3,24.28,25.78,50.3,24.54,6.94,20.8,14.92,11.2,16.12,31.11,32.3,4.52,19.4,15.62,22.87,13.92,43.4,53.6,110,53.6,29.2,17,16.5,84.9,75.3,68.8,55
Sodio total,mg/l Na,68.82,34.08,66.7,61.1,42.1,46.96,62.46,64.82,91.2,92.3,20.36,17981.4,498.58,440.28,1371.49,501.64,,138.39,130.05,52.5,30.61,21.85,12.77,7.57,16.01,23.63,43.22,1.57,20.4,13.66,72.68,2.26,46.48,10.71,18.24,20.46,38.73,23.8,17.1,17.5,24.1,26.9,752.21,59.78,64.7,43.5,43.3,47.8,57.3
Potasio total,mg/l K,8.63,37.65,32.2,16.4,25.87,20.34,90.29,59.47,40.8,41.8,2.75,18.29,11.28,16.71,12.04,12.35,,4.36,10.49,24,26.33,8.56,6.77,7.74,7.81,8.13,5.04,1.73,10.21,5.5,8.45,8.77,20.61,2.77,12.2,9.52,17.36,10.91,12,13.5,24.5,13.5,9.26,4.42,4.85,21.9,19,17.9,14.7
Fluoruros,mg/l F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fósforo total,mg/l PO4,,,,,,,,,,,1.82,0.58,1.11,2.48,3.37,0.88,,3.05,3.06,0.23,5,0.2,1.2,0.1,0.7,0.4,0.4,0.1,0.5,2.1,7.8,0.2,2.5,0.1,8.3,4.2,0.3,5.6,0.43,0.4,0.2,2.5,4.42,0.9,6.44,0.34,2.3,0.34,3.37
Fósforo disuelto,mg/l PO4,,,,,,,,,,,0.557,0.185,0.332,0.718,1,0.245,,0.793,0.958,0.1,4.7,0.2,0.2,0.1,0.2,0.1,0.03,0.1,0.1,0.5,0.5,0.1,0.1,0.03,1.1,0.9,0.2,0.8,0.18,0.09,0.09,0.09,1.4,0.06,0.496,0.06,0.12,0.09,0.18
